"filename", "language", "HTML", "CSS", "XML", "PHP", "comment", "blank", "total"
"d:\App\wamp64\www\Fons\Fons\AG\index.html", "HTML", 217, 0, 0, 0, 1, 14, 232
"d:\App\wamp64\www\Fons\Fons\About\index.php", "PHP", 0, 0, 0, 180, 5, 35, 220
"d:\App\wamp64\www\Fons\Fons\Chat\index.css", "CSS", 0, 505, 0, 0, 7, 60, 572
"d:\App\wamp64\www\Fons\Fons\Chat\index.php", "PHP", 0, 0, 0, 328, 13, 23, 364
"d:\App\wamp64\www\Fons\Fons\Explore\index.css", "CSS", 0, 457, 0, 0, 0, 2, 459
"d:\App\wamp64\www\Fons\Fons\Explore\index.php", "PHP", 0, 0, 0, 210, 6, 15, 231
"d:\App\wamp64\www\Fons\Fons\Setting\index.css", "CSS", 0, 309, 0, 0, 3, 44, 356
"d:\App\wamp64\www\Fons\Fons\Setting\index.php", "PHP", 0, 0, 0, 258, 9, 19, 286
"d:\App\wamp64\www\Fons\Fons\account\index.css", "CSS", 0, 366, 0, 0, 0, 2, 368
"d:\App\wamp64\www\Fons\Fons\account\index.php", "PHP", 0, 0, 0, 327, 8, 21, 356
"d:\App\wamp64\www\Fons\SignOut.html", "HTML", 16, 0, 0, 0, 0, 1, 17
"d:\App\wamp64\www\Fons\api\NewChat.php", "PHP", 0, 0, 0, 57, 6, 1, 64
"d:\App\wamp64\www\Fons\api\NewPost.php", "PHP", 0, 0, 0, 44, 6, 0, 50
"d:\App\wamp64\www\Fons\api\NewUser.php", "PHP", 0, 0, 0, 18, 0, 1, 19
"d:\App\wamp64\www\Fons\api\ReciveExplore.php", "PHP", 0, 0, 0, 25, 2, 0, 27
"d:\App\wamp64\www\Fons\api\ReciveMess.php", "PHP", 0, 0, 0, 15, 2, 0, 17
"d:\App\wamp64\www\Fons\api\RecivePosts.php", "PHP", 0, 0, 0, 16, 2, 0, 18
"d:\App\wamp64\www\Fons\api\ReciveProf.php", "PHP", 0, 0, 0, 4, 0, 0, 4
"d:\App\wamp64\www\Fons\api\ReciveUsersMess.php", "PHP", 0, 0, 0, 14, 2, 1, 17
"d:\App\wamp64\www\Fons\api\SendMess.php", "PHP", 0, 0, 0, 44, 12, 2, 58
"d:\App\wamp64\www\Fons\api\SetProfile.php", "PHP", 0, 0, 0, 55, 5, 5, 65
"d:\App\wamp64\www\Fons\api\TestUser.php", "PHP", 0, 0, 0, 15, 1, 0, 16
"d:\App\wamp64\www\Fons\ico\signout.svg", "XML", 0, 0, 6, 0, 1, 0, 7
"d:\App\wamp64\www\Fons\index.css", "CSS", 0, 357, 0, 0, 0, 2, 359
"d:\App\wamp64\www\Fons\index.html", "HTML", 321, 0, 0, 0, 0, 14, 335
"Total", "-", 554, 1994, 6, 1610, 91, 262, 4517
